"id" "name" "gender"
672 "Birger Nergaard" 1
673 "Birger Skeie" 1
674 "Birger Steen" 1
675 "Birgit Agneta Stattin Norinder" 2
676 "Birgit Løitegaard" 2
677 "Birgit Nørgaard" 2
678 "Birgitte Anna Caroline Natorp" 2
679 "Birgitte Feginn Angelil" 2
680 "Birgitte Helene Larsen" 2
681 "Birgitte Nielsen" 2
682 "Birgitte Nordvik" 2
683 "Birgitte Sørheim" 2
684 "Birgitte Teigland" 2
685 "Birk Ravndal" 1
686 "Birte Almeland" 2
687 "Birte Noer Borrevik" 2
688 "Birte Norheim" 2
689 "Birthe Cecilie Jørgensen" 2
690 "Birthe Cecilie Lepsøe" 2
691 "Bjarne Aamodt" 1
692 "Bjarne Borgersen" 1
693 "Bjarne Egil Kristiansen" 1
694 "Bjarne Egill Skeie" 1
695 "Bjarne Eia" 1
696 "Bjarne Fikse" 1
697 "Bjarne Gravdahl" 1
698 "Bjarne Kristoffersen" 1
699 "Bjarne Lien" 1
700 "Bjarne Rieber" 1
701 "Bjarne Rogdaberg" 1
702 "Bjarne Sælensminde" 1
703 "Bjarni Armannsson" 1
704 "Bjarte Bogstad" 1
705 "Bjarte Fagerås" 1
706 "Bjarte Gudmundsen" 1
707 "Bjarte Henry Bruheim" 1
708 "Bjarte Kvåle" 1
709 "Bjarte Røyrvik" 1
710 "Bjarte Solheim" 1
711 "Bjarte Tunold" 1
712 "Bjørg Knapstad" 2
713 "Bjørg Strøm" 2
714 "Bjørg Ven" 2
715 "Bjørg Wiers" 2
716 "Bjørge Andre Gretland" 1
717 "Bjørgulv Løgith Moe" 2
718 "Bjørn Ågotnes" 1
719 "Bjørn Allan Troelsen" 1
720 "Bjørn Anders Fossum" 1
721 "Bjørn Anders Tandstad" 1
722 "Bjørn Andre Anderssen" 1
723 "Bjørn Andre Haukås" 1
724 "Bjørn Ansgar Ingebrigtsen" 1
725 "Bjørn Arne Fredrik Sellæg" 1
726 "Bjørn Arne Østli" 1
727 "Bjørn Arne Skogstad" 1
728 "Bjørn Arnestad" 1
729 "Bjørn Arve Ofstad" 1
730 "Bjørn Asp" 1
731 "Bjørn Atle Holter-Hovind" 1
732 "Bjørn Bergsland" 1
733 "Bjørn Beston" 1
734 "Bjørn Brenna" 1
735 "Bjørn Christian Ask" 1
736 "Bjørn Christian Eide" 1
737 "Bjørn Dahle" 1
738 "Bjørn Edvart Kristiansen" 1
739 "Bjørn Egil Haugland" 1
740 "Bjørn Egil Jørgensrud" 1
741 "Bjørn Eidem" 1
742 "Bjørn Eie Henriksen" 1
743 "Bjørn Einar Fische" 1
744 "Bjørn Elvestad" 1
745 "Bjørn Elvin Stanger" 1
746 "Bjørn Erik Birkeland" 1
747 "Bjørn Erik Egeland" 1
748 "Bjørn Erik Lippestad" 1
749 "Bjørn Erik Næss" 1
750 "Bjørn Erik Reinseth" 1
751 "Bjørn Erik Saven" 1
752 "Bjørn Erling Knappskog" 1
753 "Bjørn Fredrik Davik" 1
754 "Bjørn Frogner" 1
755 "Bjørn Gabriel Reed" 1
756 "Bjørn Gunnar Bjørnsen" 1
757 "Bjørn Haakon Steive" 1
758 "Bjørn Halvor Kise" 1
759 "Bjørn Harald Borg" 1
760 "Bjørn Harald Plyhn" 1
761 "Bjørn Havnes" 1
762 "Bjørn Helge Olaisen" 1
763 "Bjørn Henry Maarud" 1
764 "Bjørn Henry Rosvoll" 1
765 "Bjørn Ivan Espnes" 1
766 "Bjørn Ivar Carlsen" 1
767 "Bjørn Ivar Flatgård" 1
768 "Bjørn Jan Solheim" 1
769 "Bjørn Jarle Netland" 1
770 "Bjørn Johan Farestveit" 1
771 "Bjørn Johan Sjaastad" 1
772 "Bjørn Johansen" 1
773 "Bjørn Jonny Aunan" 1
774 "Bjørn Jostein Aagård" 1
775 "Bjørn Kaldhol" 1
776 "Bjørn Kjos" 1
777 "Bjørn Kleven" 1
778 "Bjørn Kristian Stangeland" 1
779 "Bjørn Løvlie" 1
780 "Bjørn Lunde" 1
